files.file_name	files.data_modality	files.reference_genome	files.determination_data_modality	files.confidence_data_modality	ollama_model	response_time
NT-BG293LV06-1Bmerged_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	0.96	llama3.2	0.28
EIF4H-BG293LV06-93B_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.27
08_25_21_R941_HG01981_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	genomic	GRCh38	logic	1.0	llama3.2	0.31
HG007vGRCh38_wm_PBCCS.sort.bam	genomic	GRCh38	logic	1.0	llama3.2	0.24
NUDT21-BG293LV04-40_Aligned.sortedByCoord.out.bam	genomic	unknown			llama3.2	0.29
HG006vGRCh38_wm_PBCCS.sort.bam	genomic	GRCh38	logic	1.0	llama3.2	0.22
ZMAT3-BG293LV06-80B_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.3
ZNF593-BGRSDLV04-68dox_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.27
NT-BG293LV06-73_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.25
HG00733vCHM13_20200921_wm_ONT.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.34
YTHDF1-BG293LV05-26_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.28
m84091_230802_183430_s4.fail_reads.unassigned.bam	genomic	GRCh38	logic	0.9999999999999999	llama3.2	0.23
CNOT4-BGRSDLV03-5_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.27
HG03579_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	genomic	GRCh38	logic	1.0	llama3.2	0.37
HG004vCHM13_20200921_wm_PBCCS.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.25
HG02622_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	genomic	GRCh38	logic	1.0	llama3.2	0.28
HG03098vCHM13_20200921_wm_ONT.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.25
HG_HG733C_Guppy_6.1.2_pass.bam	genomic	GRCh38	logic	0.0	llama3.2	0.23
HG02080vCHM13_20200921_wm_ONT.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.23
HG007vCHM13_20200921_wm_ONT.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.25
HNRNPCL1-BG293LV04-33_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.26
m64330e_220819_173115.hifi_reads.bam	genomic	GRCh38	logic	1.0	llama3.2	0.25
m54306Ue_220922_132103.hifi_reads.bam	genomic	GRCh38	logic	1.0	llama3.2	0.23
HG02257.maternal.ont.bam	genomic	GRCh38	logic	1.0	llama3.2	0.2
HG004vGRCh38_wm_ONT.sort.bam	genomic	GRCh38	logic	1.0	llama3.2	0.26
RBM10-BG293LV06-20_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.26
HG002vGRCh38_wm_ONT.sort.bam	genomic	GRCh38	logic	1.0	llama3.2	0.24
FUS-BGRSDLV03-20dox_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.24
HG002vCHM13_20200921_wm_PBCCS.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.23
RNPS1-BG293LV06-10_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	0.999	llama3.2	0.25
HG01442vGRCh38_wm_PBCCS.sort.bam	genomic	GRCh38	logic	1.0	llama3.2	0.26
RNF150-BGRSLV05-7_Aligned.sortedByCoord.out.bam	genomic	unknown	logic	0.5	llama3.2	0.27
08_25_21_R941_HG01981_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam	genomic	GRCh38	logic	1.0	llama3.2	0.32
ZNF800-BGRSLV02-42_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.28
m84091_230905_192642_s1.hifi_reads.bc1015.bam	genomic	GRCh38	logic	0.0	llama3.2	0.32
HG02080vGRCh38_wm_ONT.sort.bam	genomic	GRCh38	logic	1.0	llama3.2	0.22
PPP1CA-BG293LV06-58_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	0.0	llama3.2	0.26
02_08_22_R941_HG01252_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	genomic	hg19	logic	1.0	llama3.2	0.33
HG02818.f1_assembly_v2.hap1.bam	genomic	GRCh38	logic	0.999	llama3.2	0.25
LSM1-BG293LV05-22_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	0.995	llama3.2	0.25
FUBP1-BG293LV06-99B_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	0.999	llama3.2	0.37
07_27_21_R941_HG00408_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	genomic	unknown	logic	1.0	llama3.2	0.32
HG03492vCHM13_20200921_wm_PBCCS.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.28
ZNF770-BGRSLV08-50_Aligned.sortedByCoord.out.bam	genomic	unknown	logic	0.0	llama3.2	0.29
RBM14-BG293LV06-29_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.26
HG005vCHM13_20200921_wm_ONT.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.28
RNPS1-BG293LV03-11_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	4.76
HG01109vCHM13_20200921_wm_ONT.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.23
m64043_200412_040054.ccs.bam	genomic	GRCh38	logic	1.0	llama3.2	0.24
BRCA1-BGRSDLV02-10_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	0.999	llama3.2	0.26
RNF26-BGRSLV06-31_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.39
ZC3HC1-BGRSLV04-66_Aligned.sortedByCoord.out.bam	genomic	unknown	logic	0.0	llama3.2	0.27
r54329U_20211215_223817_A01_q9_forDC.bam	genomic	GRCh38	logic	1.0	llama3.2	0.33
HG007vCHM13_20200921_wm_PBCCS.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.26
ZCCHC9-BGRSLV05-51_Aligned.sortedByCoord.out.bam	genomic	hg19	logic	1.0	llama3.2	0.27
CPSF6-BG293LV05-4_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.29
CPSF4-BGRSLV03-18_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.27
HNRNPF-BG293LV05-7_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.25
HG02145vCHM13_20200921_wm_PBCCS.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.26
ZCRB1-BGRSLV05-56_Aligned.sortedByCoord.out.bam	genomic	unknown	logic	1.0	llama3.2	0.25
HG004vCHM13_20200921_wm_ONT.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.44
TRNAU1AP-BG293LV03-25_Aligned.sortedByCoord.out.bam	genomic	hg19	logic	1.0	llama3.2	0.28
UBE2I-BG293LV03-28_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.25
HG0733vCHM13_20200921_wm_PBCCS.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.31
m84046_230711_230656_s2.hifi_reads.bc2062.bam	genomic	GRCh38	logic	1.0	llama3.2	0.26
HG03492vCHM13_20200921_wm_ONT.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.27
HG003vCHM13_20200921_wm_ONT.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.24
HG_GM24385_Guppy_6.1.2_pass.bam	genomic	GRCh38	logic	1.0	llama3.2	0.25
07_27_21_R941_HG04115_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	genomic	GRCh38	logic	1.0	llama3.2	0.31
m64076_221001_041132-bc1012.5mc.hifi_reads.bam	genomic	GRCh38	logic	1.0	llama3.2	0.28
CPSF4-BGRSLV03-17_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.25
HG03098vCHM13_20200921_wm_PBCCS.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.24
STAU2-BG293LV06-81B_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.29
HG02622_aligned_GRCh38_winnowmap.sorted.bam	genomic	GRCh38	logic	1.0	llama3.2	0.23
RYBP-BGRSLV06-36_Aligned.sortedByCoord.out.bam	genomic	unknown	logic	1.0	llama3.2	0.28
HG00621.f1_assembly_v2.hap1.bam	genomic	GRCh38	logic	0.99	llama3.2	0.23
RNF31-BGRSLV07-21_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.27
CNBP-BGRSLV03-15_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.25
HG003vGRCh38_wm_PBCCS.sort.bam	genomic	GRCh38	logic	1.0	llama3.2	0.22
